"Genres","Title","Year","Votes","Rating"
"Thriller","The Manipulator",1971,248,3.8
"Action,Adventure,Comedy","The Return of the Ancient Mariner",1968,84,7.9
"Comedy,Crime,Drama","Last Request",1957,255,7.9
"Animation,Family,Short","Doremi",1986,12,6.2
"Comedy","I piaceri dello scapolo",1960,9,7.1
"Adventure","The Karachi Story",1954,8,5.8
"Drama,Family,Romance","He Loves Me, He Loves Me Not: Part 2",1980,176,8.9
"Drama","Le colonel Durand",1948,7,6.1
"Adventure,Comedy,Drama","Crescendo/Three Feathers",1980,28,7.6
"Action,Drama,Romance","Skybound",1935,19,5.4
"Animation,Comedy,Short","Hill-billing and Cooing",1956,46,7.1
"Drama,Romance","The Wrath of the Gods",1914,131,5.7
"Comedy,Musical","Peek-a-boo",1954,362,5.3
"Comedy","The Private Detective",1970,5,7.4
"Comedy","Besuch aus heiterem Himmel",1959,17,4.5
"Comedy","Don Knotts: Tied Up with Laughter",2011,18,6.4
"Adventure,Crime,Drama","The Spy Ring",1938,33,5.2
"Documentary,Short","Tokyo 1958",1958,176,6.3
"Action,Adventure,Western","Panic in Town",1959,20,7.8
"Animation,Short","Skazka o soldate",1948,22,6.9
"Comedy,Family","A Yank at Eton",1942,324,6.1
"Drama","Birthright",1939,114,6.3
"Musical,Romance","¡Tango!",1933,35,6.3
"Comedy,Drama,Family","A Very Brady Christmas",1988,1505,6.0
"Comedy","Capulina Chisme Caliente",1977,11,4.5
"Drama","A Pair of Exiles",1972,57,8.2
"Comedy","Who Dunnit?",1984,5,8.0
"Mystery","The House of Secrets",1936,267,5.0
"Crime","Tausendschönchen",2003,27,6.9
"Comedy","The Lamp in Assassin Mews",1962,21,6.9
"Documentary,Short","Kyoto",1969,13,8.2
"Crime,Drama,Film-Noir","Man in the Vault",1956,357,5.9
"Comedy,Family,Fantasy","Cinderella",1957,868,7.6
"Western","The Siege",1965,17,8.3
"Adventure","The Glass Sphinx",1967,68,4.8
"Adventure,Drama","Sul ponte dei sospiri",1953,5,5.8
"Crime,Drama,Mystery","Urge to Kill",1960,68,6.3
"Comedy,Short","His Wife's Mistakes",1916,26,6.8
"Comedy","Mama Sees Red",1987,38,7.7
"Drama","Mordprozeß Dr. Jordan",1949,19,7.2
"Short","The Great American Mug",1945,58,6.3
"Adventure,Fantasy","Mysteries of India, Part I: Truth",1921,230,6.7
"Adventure,Drama","Huns Within Our Gates",1918,9,6.3
"Animation,Short","Kloot's Kounty",1973,7,5.6
"Drama","The Leather Saint",1956,53,5.6
"Music,Short","XXXTentacion: Look at Me!/Riot",2017,31,7.9
"Comedy","Los tramposos",1959,189,6.4
